timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],reversible_flags
138496353,138496220,0.49705014,0.8165667,0.730054,0.5454624,nan,nan,nan,nan,0
138597669,138597534,0.49071455,0.79887027,0.73387057,0.5729793,nan,nan,nan,nan,0
138695278,138695141,0.50972193,0.7730524,0.7122827,0.6011828,nan,nan,nan,nan,0
138796594,138796456,0.51767635,0.82812804,0.7188367,0.5500803,nan,nan,nan,nan,0
138895437,138895299,0.51036304,0.81443745,0.7287235,0.54069746,nan,nan,nan,nan,0
138996750,138996613,0.51647663,0.75884634,0.7185812,0.6195042,nan,nan,nan,nan,0
139098063,139097927,0.5024629,0.8118093,0.7216345,0.5705499,nan,nan,nan,nan,0
139195670,139195535,0.49571246,0.82159805,0.72426206,0.5491653,nan,nan,nan,nan,0
139296988,139296849,0.54415977,0.7969056,0.7062895,0.5661655,nan,nan,nan,nan,0
139395832,139395692,0.5127634,0.79370314,0.72151977,0.58516276,nan,nan,nan,nan,0
139497142,139497006,0.46671623,0.84112704,0.7393253,0.5525444,nan,nan,nan,nan,0
139594748,139594614,0.51581305,0.7863688,0.71539533,0.57848245,nan,nan,nan,nan,0
139696061,139695928,0.5357445,0.80916524,0.7077902,0.56605285,nan,nan,nan,nan,0
139798615,139798478,0.49813017,0.8183461,0.7315108,0.5633266,nan,nan,nan,nan,0
139896224,139896085,0.48590034,0.7986407,0.73240733,0.58788675,nan,nan,nan,nan,0
139997542,139997399,0.50747,0.77583677,0.7046063,0.60279185,nan,nan,nan,nan,0
140095142,140095007,0.47945863,0.8113748,0.74577796,0.563143,nan,nan,nan,nan,0
140196468,140196321,0.48937416,0.8235378,0.7389894,0.54360944,nan,nan,nan,nan,0
140295301,140295164,0.5385412,0.7766998,0.705754,0.6090124,nan,nan,nan,nan,0
140396628,140396478,0.5179372,0.80309284,0.7146632,0.573916,nan,nan,nan,nan,0
140497932,140497793,0.50134176,0.8504259,0.7346787,0.53000873,nan,nan,nan,nan,0
140595538,140595400,0.4950473,0.8044346,0.7240602,0.57659066,nan,nan,nan,nan,0
140698091,140697955,0.5176722,0.7770831,0.6990668,0.6054822,nan,nan,nan,nan,0
140795693,140795557,0.4639004,0.813945,0.7501356,0.5637828,nan,nan,nan,nan,0
140897010,140896876,0.4963026,0.7952353,0.7213783,0.5837506,nan,nan,nan,nan,0
140994614,140994479,0.49852186,0.78072643,0.7098866,0.6052493,nan,nan,nan,nan,0
141095929,141095793,0.49557614,0.8149588,0.7229989,0.55860835,nan,nan,nan,nan,0
141198480,141198343,0.48063374,0.81813115,0.73332304,0.5570948,nan,nan,nan,nan,0
141296085,141295951,0.5256982,0.800627,0.69499534,0.57758033,nan,nan,nan,nan,0
141397400,141397265,0.4943731,0.78980833,0.7275028,0.5837242,nan,nan,nan,nan,0
141496245,141496108,0.5001676,0.8260827,0.74865645,0.5437435,nan,nan,nan,nan,0
141597562,141597422,0.5344837,0.8004347,0.719088,0.5784674,nan,nan,nan,nan,0
141695166,141695030,0.51146436,0.8027921,0.7328611,0.5817683,nan,nan,nan,nan,0
141796477,141796344,0.49040502,0.83162034,0.74743927,0.5501904,nan,nan,nan,nan,0
141897793,141897658,0.49436042,0.80217314,0.7502591,0.5724448,nan,nan,nan,nan,0
141995402,141995265,0.55096805,0.78913987,0.7061058,0.59048575,nan,nan,nan,nan,0
142097952,142097815,0.52278453,0.81294465,0.72760695,0.56507427,nan,nan,nan,nan,0
142195558,142195423,0.49101475,0.8314959,0.760037,0.55008775,nan,nan,nan,nan,0
142296891,142296737,0.53277075,0.7956678,0.7067145,0.58481467,nan,nan,nan,nan,0
142394479,142394344,0.49986732,0.817545,0.739734,0.5577327,nan,nan,nan,nan,0
142497029,142496894,0.50018567,0.83929646,0.7647909,0.5410494,nan,nan,nan,nan,0
142598344,142598208,0.53017706,0.8066908,0.7183754,0.5751217,nan,nan,nan,nan,0
142695968,142695816,0.5176605,0.80299497,0.7241412,0.57854766,nan,nan,nan,nan,0
142797268,142797130,0.501408,0.8490014,0.7527436,0.52250415,nan,nan,nan,nan,0
142894877,142894738,0.5369774,0.8041007,0.7054344,0.57282823,nan,nan,nan,nan,0
142997423,142997287,0.5187976,0.7776209,0.7138275,0.6083531,nan,nan,nan,nan,0
143095030,143094895,0.49743548,0.82877517,0.76068175,0.5589059,nan,nan,nan,nan,0
143196343,143196209,0.5151339,0.81845295,0.73215264,0.57182807,nan,nan,nan,nan,0
143297661,143297523,0.5388889,0.80978405,0.70548797,0.5729652,nan,nan,nan,nan,0
143396502,143396366,0.51160264,0.8357311,0.7240108,0.55465513,nan,nan,nan,nan,0
143497818,143497681,0.49811798,0.84190154,0.738192,0.5388594,nan,nan,nan,nan,0
143595425,143595288,0.5323827,0.78656965,0.7093112,0.6051961,nan,nan,nan,nan,0
143696737,143696602,0.5112749,0.818559,0.7269422,0.5681215,nan,nan,nan,nan,0
143794344,143794210,0.49676192,0.83895427,0.7411729,0.5664341,nan,nan,nan,nan,0
143896895,143896760,0.5216506,0.7924512,0.72265303,0.59394515,nan,nan,nan,nan,0
143998219,143998074,0.52425075,0.79255784,0.71702254,0.62088996,nan,nan,nan,nan,0
144095817,144095681,0.48246586,0.8435808,0.7632312,0.54912466,nan,nan,nan,nan,0
