timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
683153970,683153676,0.99974763,0.014281867,0.0041499105,-0.01683948,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
683203353,683203089,0.9997492,0.01447996,0.0027078416,-0.016868798,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
683252772,683252508,0.99973434,0.015669398,0.0029266186,-0.01664778,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
683307149,683306868,0.99975896,0.014419097,0.0037800577,-0.016121525,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
683356589,683356288,0.9997813,0.013309485,0.0039500804,-0.015641525,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
683405995,683405705,0.99978316,0.013855517,0.0038016823,-0.015077458,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
683455406,683455123,0.9997967,0.013453288,0.004104536,-0.014449519,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
683504808,683504542,0.9998127,0.0124366935,0.005069779,-0.013932158,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
683554269,683553960,0.99981034,0.012866372,0.0053309887,-0.013614533,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
683603669,683603379,0.9998179,0.01291544,0.004419298,-0.013340609,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
683658006,683657739,0.99981886,0.013541855,0.002966958,-0.013039966,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
683707420,683707158,0.99979705,0.015045343,0.002828187,-0.013101576,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
683751906,683751634,0.9997955,0.015359476,0.0019125687,-0.013021311,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
683806277,683805994,0.999796,0.0154803945,-0.00014699748,-0.012979853,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
683855680,683855413,0.99978656,0.016095525,-0.0002270041,-0.012952065,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
683905099,683904834,0.9998076,0.015106553,0.00073126756,-0.012499572,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
683954537,683954250,0.9998316,0.013768409,0.001003269,-0.012094395,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
684003981,684003668,0.99982625,0.014089273,0.0013948473,-0.012122458,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
684053347,684053087,0.99982476,0.014201067,0.0026440362,-0.0119068865,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
684102769,684102505,0.99984074,0.013077964,0.0036731937,-0.011575669,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
684157132,684156866,0.9998417,0.013031003,0.0037228765,-0.011534896,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
684206578,684206284,0.9998312,0.013986706,0.0037879415,-0.011293447,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
684255966,684255703,0.99984473,0.013124749,0.0045290384,-0.0108533455,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
684305405,684305121,0.9998651,0.011708415,0.0049047223,-0.010423013,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
684354796,684354539,0.99986094,0.012509945,0.0042818887,-0.010165374,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
684404250,684403958,0.99985963,0.0130966315,0.0038001444,-0.009736643,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
684453642,684453379,0.99987704,0.0122091845,0.0037196835,-0.009120358,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
